method,graph_size,latency_ms
astar,1000,0.7502917333416311
astar,2000,1.8230693999612413
astar,5000,2.7888972666611758
astar,10000,7.522491599987309
astar,20000,14.818480466753195
astar,32696,29.081827666686877
bidirectional_dijkstra,1000,0.7194279333816667
bidirectional_dijkstra,2000,2.512738866668466
bidirectional_dijkstra,5000,4.532622266712376
bidirectional_dijkstra,10000,11.239425133317127
bidirectional_dijkstra,20000,19.624219466701714
bidirectional_dijkstra,32696,41.081683533260126
dijkstra,1000,1.0351499333713339
dijkstra,2000,2.188549933362083
dijkstra,5000,4.338874999969751
dijkstra,10000,10.618875200028318
dijkstra,20000,28.303236133312264
dijkstra,32696,56.70782226664718
robust_astar,1000,36.0843778000041
robust_astar,2000,40.11423626661781
robust_astar,5000,77.88109986659038
robust_astar,10000,187.6692000000427
robust_astar,20000,543.5488915334039
robust_astar,32696,905.5195333333662
