method,budget,n_seeds,mean,ci_low,ci_high
pure_ml_astar,0.25,5,1.2069510903483411,1.137717059354549,1.263678328230687
pure_ml_astar,0.5,5,1.4859657696146225,1.4780350845449963,1.4939737088874938
pure_ml_astar,1.0,5,1.8727337674787332,1.745044590658679,1.9604518869633185
pure_ml_astar,2.0,5,2.683853289185244,2.284076948703519,2.9389309410661237
robust_astar,0.25,5,1.2098055571547657,1.146280459773822,1.263678328230687
robust_astar,0.5,5,1.2098055571547657,1.146280459773822,1.263678328230687
robust_astar,1.0,5,1.233005356518272,1.2077380284864805,1.268115265967919
robust_astar,2.0,5,1.2586036891541554,1.2247210217444935,1.2904283406387518
robust_astar_no_guard,0.25,5,1.2098055571547657,1.146280459773822,1.263678328230687
robust_astar_no_guard,0.5,5,1.4859657696146225,1.4780350845449963,1.4939737088874938
robust_astar_no_guard,1.0,5,1.8727337674787332,1.745044590658679,1.9604518869633185
robust_astar_no_guard,2.0,5,2.683853289185244,2.284076948703519,2.9389309410661237
