experiment,method,n_seeds,mean_competitive_ratio,ci_low,ci_high,significance_vs_robust_astar
consistency_sweep,astar,5,2.517784067648191,2.047432748731351,2.9881353865650295,***
consistency_sweep,bidirectional_dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
consistency_sweep,dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
consistency_sweep,pure_ml_astar,5,1.1315701697223683,1.0348385935464777,1.308424216658749,**
consistency_sweep,robust_astar,5,1.1229350953401809,1.0218693080924965,1.3001694108881137,
robustness_sweep,astar,5,2.517784067648191,2.047432748731351,2.9881353865650295,***
robustness_sweep,bidirectional_dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
robustness_sweep,dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
robustness_sweep,pure_ml_astar,5,1.0326731604051673,1.016973679050841,1.050788385968223,ns
robustness_sweep,robust_astar,5,1.0323124881854613,1.0169419786229843,1.0504402942166169,
smoothness_sweep,astar,5,2.517784067648191,2.047432748731351,2.9881353865650295,***
smoothness_sweep,bidirectional_dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
smoothness_sweep,dijkstra,5,2.517784067648191,2.047432748731351,2.9881353865650295,
smoothness_sweep,pure_ml_astar,5,1.2184861859391685,1.0669246289525929,1.450754933201145,***
smoothness_sweep,robust_astar,5,1.2012204145112164,1.0500736761014722,1.4317592413152358,
