task,condition,method,n_seeds,mean_realized_cost,ci_low,ci_high,guard_invocation_rate
2b_budget_sweep,"{""budget"": 0.25}",pure_ml_astar,5.0,251.5151392272738,182.7009871822942,342.42334613054044,
2b_budget_sweep,"{""budget"": 0.5}",pure_ml_astar,5.0,255.1466581297886,186.4022589932597,345.50335781995216,
2b_budget_sweep,"{""budget"": 1.0}",pure_ml_astar,5.0,268.376324913057,203.1066177106135,355.2533871014215,
2b_budget_sweep,"{""budget"": 2.0}",pure_ml_astar,5.0,283.761949421603,218.16865119078642,375.33127430421007,
2b_budget_sweep,"{""budget"": 0.25}",robust_astar,5.0,252.87785729679408,183.12669272648864,343.57321142796354,
2b_budget_sweep,"{""budget"": 0.5}",robust_astar,5.0,255.33292600852405,185.26667801998317,346.6950993998189,
2b_budget_sweep,"{""budget"": 1.0}",robust_astar,5.0,263.74904150807987,196.7192121688534,351.3241606880536,
2b_budget_sweep,"{""budget"": 2.0}",robust_astar,5.0,269.6596825876216,197.5031357199417,364.71725879574694,
2b_budget_sweep,"{""budget"": 0.25}",robust_astar_no_guard,5.0,252.87785729679408,183.12669272648864,343.57321142796354,
2b_budget_sweep,"{""budget"": 0.5}",robust_astar_no_guard,5.0,256.42913481984016,186.4022589932597,347.4854527176273,
2b_budget_sweep,"{""budget"": 1.0}",robust_astar_no_guard,5.0,269.580020033831,203.58961187683104,356.06649162690087,
2b_budget_sweep,"{""budget"": 2.0}",robust_astar_no_guard,5.0,284.6551755146014,218.03643799828632,376.31205474087136,
3a_lambda_diagnosis,"adversary_B1.0, lambda=0",robust_astar,5.0,1.0352864100211305,1.028700407173098,1.0423500203669618,0.1675
3a_lambda_diagnosis,"adversary_B1.0, lambda=0.2",robust_astar,5.0,1.0355959500389096,1.0293194872086564,1.042659560384741,0.1675
3a_lambda_diagnosis,"adversary_B1.0, lambda=0.4",robust_astar,5.0,1.0356215117017173,1.0293706105342717,1.0426851220475488,0.1675
3a_lambda_diagnosis,"adversary_B1.0, lambda=0.6",robust_astar,5.0,1.0356215117017173,1.0293706105342717,1.0426851220475488,0.1675
3a_lambda_diagnosis,"adversary_B1.0, lambda=0.8",robust_astar,5.0,1.0356215117017173,1.0293706105342717,1.0426851220475488,0.1675
3a_lambda_diagnosis,"adversary_B1.0, lambda=1",robust_astar,5.0,1.0358940779725998,1.029290328495645,1.0433949603058792,0.17
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=0",robust_astar,5.0,1.0201413694499226,1.004653808981405,1.0457781213825421,0.02
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=0.2",robust_astar,5.0,1.0067605626872496,1.0038658127552147,1.0102833051905986,0.02
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=0.4",robust_astar,5.0,1.006959365235715,1.004061340389622,1.0103995865336053,0.02
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=0.6",robust_astar,5.0,1.0073141989987473,1.0042600604978393,1.0105144318226829,0.02
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=0.8",robust_astar,5.0,1.0071460320392382,1.0043303706033284,1.010401875552083,0.02
3a_lambda_diagnosis,"noisy_sigma0.5, lambda=1",robust_astar,5.0,1.007544081312544,1.0052343327885664,1.010401875552083,0.02
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=0",robust_astar,5.0,1.345986254832677,1.016735862862753,1.768996472183338,0.0375
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=0.2",robust_astar,5.0,1.345120002720658,1.017724745212884,1.7677810802192557,0.0375
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=0.4",robust_astar,5.0,1.3451178183978403,1.0177939882533988,1.7674698205157562,0.0375
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=0.6",robust_astar,5.0,1.345139073125231,1.0179642149300818,1.7673869449431312,0.0375
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=0.8",robust_astar,5.0,1.3491733331254463,1.0182739315937985,1.7784913435407297,0.0375
3a_lambda_diagnosis,"noisy_sigma1.0, lambda=1",robust_astar,5.0,1.348522228116692,1.0199930330875469,1.7784309492068164,0.0375
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=0",robust_astar,5.0,1.7325279478964284,1.3169635821728236,2.1480923136200327,0.09
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=0.2",robust_astar,5.0,1.7053434777108514,1.2792068225200655,2.1314801329016375,0.09
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=0.4",robust_astar,5.0,1.704984098907198,1.2792618573804169,2.13070634043398,0.0875
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=0.6",robust_astar,5.0,1.7045232848965732,1.2793840630741573,2.1296625067189887,0.0875
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=0.8",robust_astar,5.0,1.7075439512073274,1.2813427947389886,2.1337451076756664,0.0825
3a_lambda_diagnosis,"noisy_sigma2.0, lambda=1",robust_astar,5.0,1.7169132647790364,1.281926707158353,2.151899822399719,0.085
